,client,title,pos_review,neg_review,nationality,score,travel_type,room_type,date_review
775,Jordi,DECEPCIONANTE,Nada.,"Decepcionante. No queda nada de aquel hotel de calidad máxima en el centro de Escaldes. Hotel en reformas (dicen), van alojando a los clientes en habitaciones antiguas, en las plantas inferiores. Muebles deteriorados, cama incómoda, televisión anticuada (CON TDT!!!), el aire acondicionado sin funcionar. No queda nada de aquel bufet de desayuno excelente. La cena, más decepcionante aún, sirven lo que les da la gana. Ponen unos platos que no tienen que ver con lo que escriben. La carta, con tres hojas arrugadas y rotas, sujetas a una madera con una pinza.
Siendo en Andorra, el català como lengua oficial, no hay NINGUN empleado que lo hable. Ni en recepción, ni en el restaurante. 
Lo siento, pero no VOLVERÉ.",España,"4,0",En pareja,Habitación Doble - 1 o 2 camas,15/05/2022
776,Marti,Genial,La habitacions.. I el trato,..El bufet el embutido i queso estaba muy seco incomible..lo demas perfecto,España,"7,0",En grupo,Habitación Cuádruple Estándar,6/05/2022
777,Javier,Bien,"Nos alojamos en la habitación para 5 personas. Tiene dos habitaciones, una con cama de matrimonio y otra con litera. Dos baños independientes lo que da mucha independencia.",Los baños están algo antiguos,España,"7,0",En grupo,Habitación Cuádruple Estándar,20/04/2022
778,Jorge,Bien,La habitación grande y con dos baños.,El bufet del desayuno podía ser de más calidad y cantidad.,España,"7,0",En familia,Habitación Triple,17/04/2022
779,Nuria,Buena experiencia,"principalmente la ubicación, estaba limpio, la habitación muy grande pero la zona de las literas muy pequeña y mal ubicada",El aparcamiento,España,"7,0",En familia,Habitación Cuádruple Estándar,17/04/2022
780,Jesus,Bien,"El desayuno está muy bien, es tipo buffet y está bien surtido.",Colchones muy blandos a mi gusto,España,"7,0",En familia,Habitación Familiar,13/04/2022
781,Artur,Bien,Bien situado y personal muy amable.,"No iba ni la tv ni el teléfono, después de informar a recepción, que fueron muy amables, cambiaron la tv, pero para ser un hotel de 4 estrellas y no precisamente barato son detalles que no están a la altura.",España,"7,0",En familia,Habitación Cuádruple Estándar,12/04/2022
782,Isidre,Fin de semana en pareja,"Ubicaciòn
Servicio y calidad del restaurante excelente","Habitación con falta de mantenimiento; parquet deteriorado, paredes con golpes tapadas con yeso blanco y sucias. Puertas agrietadas. Extractor lavabo excesivamente ruidoso. TV habitación no funcionaba, el TDT estaba roto.
Escogí este hotel porque habia tenido ya una mala experiencia similar a la que acabo de tener de nuevo en este.  Pensaba que estaría  al nivel del precio pagado, pero ni de lejos. Gran decepción!",España,"6,0",En pareja,Habitación Doble - 1 o 2 camas,11/04/2022
783,José,"Bien, solo por la ubicación",Comodidad y ubicación,"La habitación está anticuada. Las puertas de madera desgastadas por el suelo, cortinas rotas y la mampara del baño grande no encajaba bien, con lo que toda el agua salía hacia afuera",España,"7,0",En familia,Habitación Cuádruple Estándar,11/04/2022
784,Jesus,agradable,la situación,el parking y el bufete desayuno,España,"7,0",En familia,Habitación Cuádruple Estándar,27/03/2022
785,Gladys,Regular,El espacio de la habitación y que está centrico,Primero que llegamos y la habitación estaba sin hacer luego nos dicen que 20 min cuando pasan 25 min nos dicen que aún no estan la recepcionista ni sabia cual era la habitación me dice que 20 min más después de 25 min subo a la habitación y estaban las chicas que limpian enfadadas mal educadas,España,"4,0",En familia,Habitación Familiar Deluxe,8/03/2022
786,Natalia,"Buen hotel, limpieza pésima","Ubicación del hotel excelente, está en pleno centro.","El hotel estaba completo y nos ofrecieron una habitación superior con cama doble, pero al entrar en la habitación nos encontramos que estaba sucio, la ducha recién usada, pelos por todas partes...",España,"6,0",En pareja,Habitación Doble - 1 o 2 camas,6/03/2022
787,Sonia,Bien,El restaurante el desayuno bien y la cena muy buena el personal amable,Después de coger una habitación reformada dejaba q desear el baño con  el techo roto,"Abjasia, ​Georgia","7,0",En familia,Habitación Cuádruple Deluxe,28/02/2022
788,Eusebio,era mi segunda vez regular,el restaurante muy bueno en las noches,la atención en recepción malísima,Panamá,"6,0",En familia,Habitación Cuádruple Estándar,27/02/2022
789,Alejandro,mejorable,ubicación,mobiliario un poco antiguo,España,"6,0",En grupo,Habitación Doble - 1 o 2 camas,26/02/2022
790,Estrella,"SIN MÁS, HOTEL DE HACE AÑOS, MODERNIZADO.",LA COMODIDAD DE LOS COLCHONES,EL DESAYUNO Y LA CENA,España,"7,0",En pareja,Habitación Doble - 1 o 2 camas,16/02/2022
791,Isidoro,Bien con matices.,"El desayuno muy bien, la cena buenísima en cuanto a calidad y presentación. El personal excelente.","las habitaciones un poco obsoletas, complicado el uso de TV Dos mandos.",España,"7,0",En familia,Habitación Doble - 1 o 2 camas,15/02/2022
792,Mònica,Comodidad,Estás al centro. Muy buena ubicación. Las camas muy cómodas. En general bastante limpio. Tener dos wc ( uno con bañera y otro con ducha). Habitación grande. Bebida de cortesía en el minibar( zumo y agua).,"-Tuvimos que esperar mucho para hacer la entrada (casi 30 minutos). Un cliente no paraba de hacer preguntas. Podían haber llamado a un otro compañero.
-En general para ser un 4* un poco justo de muebles ( rotos y antiguos)armarios, puertas...la tele de la habitación de los niños no funcionaba. 
- El encargado del bufet el primer día nos hizo sentir un poco incómodos ( muy observador y pendiente de lo que hacíamos) ni que fuéramos unos delincuentes con dos niños pequeños..hasta el punto que vino a preguntar qué lo que comíamos era para los niños..etc...se pensó que cogíamos cosas del bufet...NUNCA nos había pasado y mira que hemos estado en hoteles de más y menos categoría y mis hijos también.. 
-El personal excepto el chico y chica de recepción que eran amables, por el resto...ni los buenos días. 
-En general no tuvimos la sensación de estar en un hotel de 4*.",España,"6,0",En familia,Habitación Cuádruple Estándar,6/02/2022
793,Francisco,Mal,"Instalaciones en mal estado, no conservado y falta de limpieza.",,España,"3,0",En pareja,Habitación Doble - 1 o 2 camas,2/02/2022
794,Andrade,Decepcionante,El desayuno bien y ubicación perfecta,"Demasiada calor,no hemos podido dormir",España,"4,0",En familia,Habitación Cuádruple Estándar,30/01/2022
795,Irene,Bien,Muy espaciosa la habitación y limpia. En ese aspecto muy agusto. Cerca del centro.,"Las literas estaban al lado de la puerta y habían un grupo de jóvenes haciendo ruido por la noche y no les llamaron la atención. Por otro lado la calefacción aún apagando los radiadores debía estar centralizada porque hacía muchísima calor y descansamos ma, incluso los niños.",España,"7,0",En familia,Habitación Cuádruple Estándar,29/01/2022
796,Rocio,céntrico y cómodo,"su ubicación es ideal para ir de compras. 
la recepcionista fue amabilísima","en mi opinion ha bajado notablemente la calidad de este hotel. aunque es un buen hotel lo he visto más descuidado y las nuevas habitaciones me parecen muy frías, no muy acogedoras.",España,"7,0",En familia,Habitación Triple,23/01/2022
797,Martin,Perfecto calidad-precio,ubicación,Mantenimiento de las instalaciones,España,"7,0",En pareja,Habitación Doble - 1 o 2 camas,18/01/2022
798,Pe,Estancia normal,"El tamaño de la habitación, cama cómoda y amplia. El desayuno correcto.","El mueble de tv está para renovar, la wifi fatal no llegaba bien al primer piso. Pedimos unas zapatillas y nos las negaron diciendo que por protocolo Covid, pues precisamente por eso se dá al cliente que las pide unas de un sólo uso al igual que las demás amenities de hotel.",España,"5,0",En pareja,Habitación Doble - 1 o 2 camas,18/01/2022
799,Raquel,Bien,Relacion calidad precio,"Instalaciones 7 un poco dejadas, puertas de las habitaciones sin pintura y arañazos",España,"7,0",En grupo,Habitación Familiar,17/01/2022
800,Maria,lamentablemente,nada,"realizó una reserva donde Booking.com, que se supone que ustedes trabajan con ellos realizando reservas para su hotel  , realizó una reserva donde hay unas habitaciones reformadas y me dan una habitación sin reformar y con moqueta que soy alérgico a los ácaros y sucio, muebles quemados por cigarros, reclamó y me dicen los empleados del hotel que es lo que yo he reservado y si tengo algún problema que reclame a Booking.com. el desayuno al realizar la Servando pone 8€ por persona y luego nos cobran 12,50€ por persona , por desgracia tuvimos un accidente que regresamos a España y solo hicimos huso un solo día de los 4 días que pagamos y los empleados del hotel nos dicen que ellos no pueden hacer nada y que reclamemos a Booking.com que son los que han hecho la reserva, me siento timado por parte del hotel .
Deseo q se me devuelva el dinero de las tres noches que no he utilizado.",España,"1,0",En pareja,Habitación Doble - 1 o 2 camas,16/01/2022
801,Ismael,recepcionista amargada Jode estancia,la amplitud de la habitacion.,la señora de la recepción hace que mi alojamiento baje de 10 puntos (excelente ) a 4 la estancia,España,"5,0",En pareja,Habitación Doble - 1 o 2 camas,14/01/2022
802,Sanchez,Con algunas mejoras,"El servicio y la atención del personal del restaurante como anotación más destacada.
Personal de limpieza y recepción perfecto.","No tuvimos la habitación que contratamos. Mobiliario con muchos golpes, la puerta del baño inflada por la humedad. Colchón muy blando.",España,"5,0",En pareja,Habitación Doble - 1 o 2 camas,13/01/2022
803,Josep,Hotel regular,Habitación era grande y con dos baños,El desayuno no podias ni moverte al coger la comida. Muy poco espacio. Nos digeron que el parquing estaba lleno.,España,"6,0",En familia,Habitación Cuádruple Estándar,8/01/2022
804,Sergio,decepción,buena ubicación,"tuvimos un accidente que requería atención médica y nos vimos obligados a abandonar la habitación un día antes de lo previsto. Nos cobraron la noche, pero nos prometieron que nos enviarían via email, para poder disfrutar de otra noche en su establecimiento. Nunca llegó ese email, entiendo que fue para contentarnos en ese momento. No resulta muy profesional engañar al cliente, sabiendo y viendo que fue por una causa mayor.",España,"6,0",En pareja,Habitación Doble - 1 o 2 camas,8/01/2022
805,Mar,muchas cosas a mejorar,"la carta del restaurante q era de 10 , y la ubicacion",el trato del personal,España,"6,0",En familia,Habitación Triple,8/01/2022
806,Enrique,Fotos engañosas de la realidad,La atención del personal. Se esmeraban en hacerlo bien,"La limpieza era mas bien poca. La habitación estaba muy trotada, nada que ver con las fotos. Parecia que tenia 50 años de uso.
El personal se esmeraba en el trato, fue lo único bueno pues en general no debería ser un 4 estrellas, como mucho 2 o 3.",España,"5,0",En familia,Habitación Triple,5/01/2022
807,Purificacion,Agradable,El personal y la ubicación,"las camas al lado de la puerta y justo al lado del ascensor. 
Nos costó mucho dormir",España,"6,0",En familia,Habitación Cuádruple Estándar,3/01/2022
808,Xavier,Buena ubicación,"Ubicacion excelente, desayuno correcto y parquing lleno aunque hay buenas alternativas en el exterior",La wifi funcionaba fatal en la habitación y en Andorra es básica,España,"7,0",En familia,Habitación Triple,3/01/2022
