,client,title,pos_review,neg_review,nationality,score,travel_type,room_type,date_review
367,Lourdes,Estancia positiva,Que tiene 2 lavabos,No haber estado en obras,España,"8,0",En familia,Habitación Cuádruple Estándar,5/06/2022
368,Pedro,perfecta eleccion,su ubicación y la atención del personal,nada,España,10,En pareja,Habitación Doble - 1 o 2 camas,21/05/2022
369,Sheila,Excepcional,"La habitación genial, y la comida del restaurante de 10","Pasamos un poquito de calor en la habitación, por la noche tuvimos que abrir las ventanas.",España,10,En familia,Habitación Cuádruple Deluxe,13/05/2022
370,Jose,Buen hotel en buena ubicación.,"La ubicación es perfecta para ir de compras.
Para los trayectos a las pistas está muy bien ubicado.
El personal muy atento y agradable.","El parking... si tienes un coche grande.. es un poco ""complicado"".
El no poder regular la temperatura de la habitación hace que sea un poco incómodo. Sobre todo si compartes con más gente la habitación.",España,"9,0",En familia,Habitación Familiar Deluxe,12/05/2022
371,Jose_maria,Todo excelente,Parking perfecto,,España,10,En pareja,Habitación Doble - 1 o 2 camas,4/05/2022
372,Susana,Muy bien,"Las habitaciones cuádruples son muy amplias, con dos estancias y dos lavabos.","Pasamos calor por la noche, no supimos como regular la temperatura. La habitación estaba un poco vieja pero muy limpia.",España,"8,0",En familia,Habitación Cuádruple Estándar,2/05/2022
373,Mª,Muy bien,"La ubicación
El trato del personal",Estaban remodelando alguna planta y bueno las molestias propias. Aunque se notaba que limpiaban más porque estaba limpio.,España,"8,0",En pareja,Habitación Doble - 1 o 2 camas,28/04/2022
374,Fernando,Satisfacción 9,La comida y el servicio,,España,"8,0",En familia,Habitación Triple,26/04/2022
375,Carlos,Fantástico,"Habitación extragrande, bien ubicado en pleno centro comercial, desayuno inmejorable.",El parking un poco pequeño.,España,"9,0",En pareja,Habitación Doble - 1 o 2 camas,25/04/2022
376,Raquel,Excelente calidad relación precio con ubicación muy buena.,Habitación muy cómoda y grande. Ubicación perfecta.,La bañera no estaba muy limpia y una almohada manchada en la habitación.,España,"9,0",En familia,Habitación Familiar,22/04/2022
377,Claudiu,Excepcional,Todo,,España,10,En pareja,Habitación Doble - 1 o 2 camas,21/04/2022
378,Roberto,Muy bien,"La amplitud de la habitación y limpieza en la misma, el desayuno completísimo",,España,10,En pareja,Habitación Doble - 1 o 2 camas,19/04/2022
379,Manuel,Muy bien,ubicación,,España,"8,0",En familia,Habitación Triple,19/04/2022
380,Antonio,buen hotel s buen precio,centrico y buena comida.Las habitaciones grandes y limpias,El parking es pequeño,España,"9,0",En familia,Habitación Cuádruple Estándar,18/04/2022
381,Jose,Todo correcto,El personal del restaurante. Profesionales y muy agradables.,El Parking del Hotel( complicadodebido al diseño),España,"8,0",En familia,Habitación Cuádruple Estándar,18/04/2022
382,Raquel,Estancia cómoda,Habitación muy amplia con un baño para los adultos y otro para los niños lo cual es una gran ventaja. Desayuno muy bueno.,Quizá el mobiliario un poco viejo.,España,"8,0",En familia,Habitación Cuádruple Estándar,17/04/2022
383,Ana,Muy bien,"El tamaño de la habitación,  ideal para familias.",Que no te reserven plaza de parking con antelación.,España,"8,0",En familia,Habitación Cuádruple Deluxe,17/04/2022
384,Miguel,Muy bien,Buen trato por parte de los trabajadores. Ubicación inmejorable en pleno centro,"Salieron unos días de calor, y la climatización prácticamente no funcionaba.",España,"8,0",En familia,Habitación Cuádruple Estándar,17/04/2022
385,Alex,Fantástico,"Ubicacion muy bueno ,personal muy amable i toto muy limpio.",Me falto que la television fuera smart tv para poder ver netflix o peliculas por la noche.,España,"9,0",En pareja,Habitación Doble Deluxe,17/04/2022
386,Heidy,Excepcional,Lo céntrico q es,"Excelente hotel, el desayuno muy bueno, el personal del hotel muy amable.",España,10,En familia,Habitación Familiar,14/04/2022
387,Lucila,Muy bien,"La habitación , cómoda y muy amplia . Cama cómoda y ducha excepcional . Muy limpio y cómodo.","La cena , nombres muy enrevesados para acabar comiendo amburguesa de pollo con diferente forma y salsa japonesa por encima . Un fiasco la verdad.
El desayuno muy pobre de cosas calientes y zumo aguado.
Hace años estuve y la comida fue estupenda ,quizás por eso quede tan desilusionada .",España,"8,0",En pareja,Habitación Doble - 1 o 2 camas,12/04/2022
388,Paco,excelente,"espacioso ,limpio.Muy simpáticos,amables.El restaurante excelente.",,España,"9,0",En familia,Habitación Triple,11/04/2022
389,Cristina,Excepcional,Amplitud de las habitaciones,,España,10,En pareja,Habitación Doble - 1 o 2 camas,11/04/2022
390,Maria,genial finde,"calidad precio, ubicacion, nos dejaron agua y zumos en la mini nevera de la habitación como detalle",pagar el parking pero tampoco es un precio muy elevado para lo que hay,España,10,En familia,Habitación Cuádruple Estándar,11/04/2022
391,Raul,Comoda en todos los sentidos.,"Situacion, ampitud,..",Decoracion escasa para la amplitud q tiene la habitacion.,España,"8,0",En pareja,Habitación Doble - 1 o 2 camas,11/04/2022
392,Diana,todo estuvo bien pero el tema de la calefacción fatal,habitación grande y muy cómoda,la calefacción a tope y se pasa mucha calor,España,"8,0",En familia,Habitación Triple,10/04/2022
393,Claudio,hotel confortable con buena ubicación,"muy buen trato del personal , habitación amplia , buen desayuno",todo ok,España,"8,0",En familia,Habitación Triple,7/04/2022
394,Laura,Excepcional,"Nos ha gustado todo. Hotel muy céntrico, la habitación familiar enorme, limpio y bien de precio. Destacamos la amabilidad de todo el personal. Las chicas de recepción excepcionales. Tuvimos un problema exterior con nuestro vehículo y nos ayudaron en todo. De lo mejor que he visto y mira que hemos viajado. Enhorabuena!",Nada,España,10,En familia,Habitación Familiar,6/04/2022
395,Patricia,Genial,"La habitación era muy grande y comoda para ir con niños pequeños.
Nos han dejado en el minibar dos botellitas de agua y dos zumos, ideal para los peques. Un detalle.",,España,10,En familia,Habitación Cuádruple Estándar,3/04/2022
396,Nuria,Muy bien,"habitación muy grande y espaciosa
desayuno muy bien
atención muy agradable",,España,"8,0",En familia,Habitación Cuádruple Estándar,3/04/2022
397,Beatriz,Fantástico,EXCELENTE TRATO DEL PERSONAL,,Andorra,"9,0",En pareja,Habitación Doble - 1 o 2 camas,30/03/2022
398,Eva,Excepcional,La habitación era muy grande . El lavabo tenía bañera y plato de ducha,Me gustó todo mucho.,España,10,En pareja,Habitación Doble - 1 o 2 camas,28/03/2022
399,Miguel,Muy bien,Habitacion amplia y céntrico,"Varias habitaciones en la segunda planta haciendo ruido, como portazos, gritos así las dos noches",España,"8,0",En familia,Habitación Familiar,27/03/2022
400,Loida,Excepcional,"Habitación cuádruple muy grande, camas muy cómodas, 2 baños, todo muy limpio, El desayuno buffet genial, y la cena a la carta muy bien, buenísimo todo. Personal del restaurante muy amables y atentos. Ha sido una estancia de 10. Repetiremos sin duda!!",,España,10,En familia,Habitación Cuádruple Estándar,27/03/2022
401,Christophe,Excepcional,Todo es un placer la gente el cervicio muy agradable si tendria que volver seria en etes,,Andorra,10,En pareja,Habitación Doble - 1 o 2 camas,21/03/2022
402,Sergim92,Muy bien,"Habitación grande, personal muy amable y el restaurante muy bueno",Nada,España,"8,0",En pareja,Habitación Doble - 1 o 2 camas,21/03/2022
403,Jorge,muy bueno,limpieza y atención,todo perfecto,España,"8,0",En familia,Habitación Familiar,20/03/2022
404,Mar,Excelente alojamiento,"Ha sido fabuloso, buen servicio, gran hospitalidad y buenas instalaciones.
El desayuno nos ha encantado. Volveremos pronto",,España,10,En familia,Habitación Cuádruple Estándar,20/03/2022
405,Ana,Ubicación excelente,La ubicación y el restaurante,No habían plazas de parking libres,España,"9,0",En familia,Habitación Cuádruple Estándar,19/03/2022
406,Carla,Un fin de semana ideal en pareja,"Sí, mucho",que después del servicio de habitaciones aun había suciedad en la habitación,España,"9,0",En pareja,Habitación Doble - 1 o 2 camas,17/03/2022
407,Anna,Relax sin wifi,Habitacion amplitud,Fallo continuo de la wifi,España,"8,0",En familia,Habitación Cuádruple Deluxe,14/03/2022
408,Judit,Muy cómodo y agradable.,Habitaciones muy amplias y cómodas.,La moqueta estava un poquito sucia.,España,"9,0",En grupo,Habitación Doble - 1 o 2 camas,14/03/2022
409,Marta,Estancia tranquila,La habitación grande y bastante silenciosa. La cama muy cómoda. Habitación limpia y bebidas de bienvenida. El personal amable.,"Desayuno escaso. Calidad flojita. La mampara del baño muy abierta, peligro de resbalar.",España,"8,0",En pareja,Habitación Doble - 1 o 2 camas,14/03/2022
410,Sandra,"Excepcional estancia, para repetir","La habitación muy grande y con dos baños me encantó, el servicio de Restaurante espectacular. El personal Magnifico. Repetiré sin duda.",Las camas y almohadas no eran muy cómodas.,España,"9,0",En familia,Habitación Triple,14/03/2022
411,Sònia,Fantástico,La amabilidad en recepción,"Se nos cayo un objeto detrás de la cama y al separarlos de la pared encontramos pañuelos usados, y basura.",España,"9,0",En familia,Habitación Cuádruple Estándar,13/03/2022
412,Vicenta,hotel cómodo para esquiar y céntrico,"situación, amplitud de la habitación, relación calidad-precio","poca presión de agua en la ducha
calefacción por aire en lugar de por radiadores(que los hay)",España,"8,0",En familia,Habitación Cuádruple Deluxe,13/03/2022
413,Jordi,La habitación más grande en la que hemos estado,"La habitación cuádruple es inmensa, con dos estancias separadas y cada una con su TV y su baño completo. La cama muy cómoda y el desayuno muy correcto",,España,10,En familia,Habitación Triple,13/03/2022
414,Laura,Genial. Repetiría seguro.,La ubicación y la comodidad.,El desayuno estaba correcto aunque para mi gusto estaba corto de opciones.,España,10,En grupo,Habitación Doble - 1 o 2 camas,10/03/2022
415,Carlos,Muy bien,"esta muy bien situado, la limpieza es de 10 y el personal de recepción de 10! las habitaciones son enormes","después de 3 veces en exe prisma, veo un deterioro en las instalaciones, las puertas están bufadas de la humedad del baño que pierde la dicha por todas partes, el mantenimiento deja muchísimo que desear, un 4 estrellas debe ofrecer habitaciones impecables, si es por el tamaño de la habitación es un 10, por sus instalaciones es un 4, la valoración seria que de no renovarse el hotel bajarlo a 3 estrellas.",España,"8,0",En pareja,Habitación Doble - 1 o 2 camas,8/03/2022
416,Marta,Fantástico,habitaciones grandes para dormir con los niños en la misma habitacion,precio del desayuno,España,"9,0",En familia,Habitación Cuádruple Estándar,7/03/2022
417,Santiago,Buena opción,Muy bien situado. Habitación grande y cómoda. Personal amable,"El precio por dos noches algo elevado pero entendible siendo fin de semana. El desayuno al no estar incluido en el precio también elevado, menos mal que hay varias cafeterías cerca",España,"9,0",En familia,Habitación Cuádruple Deluxe,6/03/2022
418,Laia,Buena estancia,Personal y alojamiento excelente,Todo correcto,España,10,En pareja,Habitación Doble - 1 o 2 camas,6/03/2022
419,Alberto,Buena opción.,"Muy cómodo, en el centro, con parkig,  habitación enorme y muy agradable. Desayuno muy bueno. Recomendable.una buena opción.","El menú es un poco repetitivo si vas ha estar varios días. Si eres más  de verdura, vas ha andar justo.",España,"9,0",En pareja,Habitación Doble - 1 o 2 camas,3/03/2022
420,David,Fantástico,"Ubicación
Restaurante 
Parquing","En la página web decía que habían dos televisores, uno en cada habitación y solo había una.",España,"9,0",En familia,Habitación Cuádruple Estándar,1/03/2022
421,Singla,Excepcional,"Nos gustó mucho el Hotel, habitación muy amplia con dos baños, la comida muy buena i el personal muy amable. Todo perfecto.",El acceso al parquinq,España,10,En pareja,Habitación Cuádruple Deluxe,25/02/2022
422,Silvia,Fantástico,La amplitud de las habitaciones,Tendrían que pintar un poco las puertas y los marcos de las habitaciones… por lo demás todo genial,España,"9,0",En familia,Habitación Cuádruple Estándar,25/02/2022
423,Sergi,Excelente ubicación,"Ubicación céntrica al lado de calle peatonal. Habitación amplia y cómoda.
Desayuno completo y también probamos el restaurante para cenar y nos gustó mucho.","El baño estaba bien, tenía ducha y bañera, pero como punto a mejorar, el agua se salía tanto de la ducha como también de la bañera.",España,"9,0",En pareja,Habitación Doble - 1 o 2 camas,24/02/2022
424,David,Maravilla,"La cama enorme, super cómoda, hacia tiempo que no dormia tan bien","Me ha gustado todo, no me puedo quejar de nada",España,10,En pareja,Habitación Doble Deluxe,22/02/2022
425,Josep,Fantástico,Bien todo el hotel,Que habia  poca luz en las habitaciones .pero puede pasar,España,"9,0",En pareja,Habitación Cuádruple Estándar,21/02/2022
426,Eduardo,"Muy recomendable,ubicacion perfecta y tranquila.",Ubicación.,"El Sistema de TV ,el hotel debe comprar TV nuevos que puedan recibir señal TDT en HD,lo del adaptador es una solución no acorde con el resto del Hotel.",España,"8,0",Persona que viaja sola,Habitación Doble - 1 o 2 camas,21/02/2022
427,Eva,Lo tiene todo,"La amplitud de las habitaciones, la restauración es magnífica",,España,10,En familia,Habitación Cuádruple Deluxe,20/02/2022
428,Demetrio,VOLVEREMOS,"La calidad precio muy optimizado.
La cercanía y profesionalidad muy buena. 
El restaurante vale mucho la pena, muy buena calidad.",,España,"9,0",En pareja,Habitación Doble - 1 o 2 camas,20/02/2022
429,Jose,Excepcional,habitaciones perfectas para ocupacion de 3,,España,10,En grupo,Habitación Triple,19/02/2022
430,Vanesa,Muy bien,Su ubicación y su cercania a Caldea,"Muy usado todo, muy rayadas las mesitas",España,"8,0",En pareja,Habitación Doble - 1 o 2 camas,19/02/2022
431,Vanesa,Muy bien,"La ubicación muy bien, y la cercania a caldea",Mucho uso de las instalaciones.,España,"8,0",En pareja,Habitación Doble - 1 o 2 camas,19/02/2022
432,Pilar,Muy bien,"esta cerca la zona comercial , caminas un par de minutos  y a la vez tranquilo  y con posibilidad de aparcamiento en el hotel y en proximidad.
destaco la amabilidad del personal y que tienen un buen restaurant, excelente,  donde comer , cenar y desayunar.",nada,España,"8,0",Persona que viaja sola,Habitación Individual,16/02/2022
433,Nuria,Estupendo,Buena ubicación. Personal amable. Restaurante muy bueno y bien de precio. Y la habitación tenía como dos partes cada una con su baño. Muy grande.,Nada,España,"8,0",En familia,Habitación Triple,15/02/2022
434,Pulgarml,Una buena opción para el centro,"La disposición del equipo del hotel para ofrecernos la mejor habitación posible segun lo que habiamos pedido.
La ubicación
La mujer de pelo rizado de recepción muy amable!","Los zumos del desayuno bastante mejorables. 
Distribución/decoración de la habitación mejorable",España,"9,0",En pareja,Habitación Doble - 1 o 2 camas,14/02/2022
435,Ester,Comodidad y atención del personal de 10,La atención del personal de recepción. Tuvimos un problema personal y fueron extremadamente amables.,,España,10,En familia,Habitación Cuádruple Estándar,14/02/2022
436,Yo,Recomendable,"Todo, habitaciones muy grandes, cama grande y cómoda, almohadas cómodas, personal muy amable, teníamos media pensión y tanto el desayuno como la cena de 10, cerca de caldea y de zona comercial. Volveremos en futuros viajes.",Nada,España,10,En familia,Habitación Triple,13/02/2022
437,Yo,Recomendable,"Todo, habitaciones muy grandes, cama grande y cómoda, almohadas cómodas, personal muy amable, teníamos media
 pensión y tanto el desayuno como la cena de 10, cerca de caldea y de zona comercial. Volveremos en futuros viajes.",Nada,España,10,En familia,Habitación Doble - 1 o 2 camas,13/02/2022
438,Andres,Excepcional,Todo,nada,España,10,En pareja,Habitación Doble - 1 o 2 camas,10/02/2022
439,Jordi,Todo muy correcto,muy bien y miy limpio,nada,España,"9,0",En familia,Habitación Cuádruple Deluxe,7/02/2022
440,Angeles,Gran hotel para compartir la habitación con la familia.,La amplitud de la habitación con dos baños y el desayuno.,"La organización de las plazas del garaje. Hay coches pequeños en plazas grades y coches grades en plazas pequeñas que obstaculizan el movimiento dentro del mismo.
La mampara de la bañera dejaba salir el agua fuera de la misma y se inundaba el baño.",España,"8,0",En familia,Habitación Cuádruple Estándar,1/02/2022
441,Marcos,Muy bien,"La señorirta que nos atendió en recepción , no era demasiado agradable .",,España,"8,0",En familia,Habitación Cuádruple Deluxe,1/02/2022
442,Marc,Excepcional,"Atención, instalaciones, ubicación y cena","Desayuno: poca oferta de dulce con chocolate (napolitanas y donetes bañados de bollería industrial y baja calidad). Zumo de naranja no natural y sabor mejorable (como que quiere ser un Granini pero ni llega). Por 12,50 euros me esperaba algo mas",España,10,En pareja,Habitación Doble Deluxe,31/01/2022
443,Fina,Muy buena experiencia,"Céntrico, personal recepción majísimos, habitación (éramos  4) súper amplia con dos baños, cama 2 m, literas supercómodas y limpio, muy limpio. No se puede pedir más.",,España,10,En grupo,Habitación Cuádruple Deluxe,31/01/2022
444,Alba,Genial para ir con niños o en familia,"Desayuno muy bien, habitación, situación, parking…todo genial.",,España,10,En familia,Habitación Triple (2 adultos + 1 niño),30/01/2022
445,Jordi,Fantástico,"Habitacion amplia, personal muy amable",,España,"9,0",En pareja,Habitación Doble - 1 o 2 camas,30/01/2022
446,Miriam,Buena ubicación pero un poco caro,"Nos dieron una habitación muy grande, supongo que por disponibilidad. Buena ubicación y limpio. Buen desayuno.","Quizas deberian renovar el moviliario, los recepcionistas que fueran más alegres, hotel un poco aburrido.",España,"8,0",En pareja,Habitación Doble - 1 o 2 camas,29/01/2022
447,Arnau,repetiría,habitaciones y desayuno,deberían dar con prioridad plaza de parking a los clientes del hotel.,España,10,En pareja,Habitación Doble Deluxe,28/01/2022
448,Oriol,Muy bien,Hotel con mucha limpieza y amplitud como puntos más positivos.,"Como nota negativa, pero es generalizada en muchos hoteles , exceso de temperatura en la habitación , hace imposible un buen descanso, por el resto recomendable.",España,"8,0",En familia,Habitación Triple,27/01/2022
449,Victor,"Si volvemos a viajar a Andorra, cogeremos el mismo hotel",La habitacion era muy amplia y comoda,"Por decir algo malo, la variedad del desayuno, pero estaba todo genial",España,10,En pareja,Habitación Doble - 1 o 2 camas,26/01/2022
450,Trizgaga,Genial con pequeños fallos.,"La habitación increíble, grande y fabulosa. La comida y la cena espectaculares.","El desayuno un poco pobre, pero puedes desayunar bien, el mobiliario del hotel, en lo referente a habitaciones estaba un poco tocado, deberían arreglarlo y las almohadas muy blandas para mi gusto, con una poco con dos, demasiado.",España,"8,0",Persona que viaja sola,Habitación Individual,26/01/2022
451,Francisca,Para repetir.,"Cama grande comoda . Amplitud de habitación. Limpieza exquisita, detalle de agua y zumos en nevera. TV  muy grande y detalles para hacer más comoda la estancia.Gran relacion calidad precio",El parking estaba completo,España,"9,0",En pareja,Habitación Doble - 1 o 2 camas,25/01/2022
452,Alex,Amabilidad y ubicacion . Habitaciones confortables. Sin duda repetiremos,La amabilidad con la que nos trataron y la ubicacion,La “coliflor” de las duchas deberian empezar a canviarse y la mampara deberia cubrir más espacio ;cae mucha agua fuera y es algo incomodo,España,"9,0",En familia,Habitación Cuádruple Estándar,24/01/2022
453,Antonio,Cumple su cometido.,"Acceso rápido, habitaciones muy grandes.
En el centro.","Es un hotel tipo “negocios” pero pequeño.
No tiene vistas (esperable al ser tan centrico).
Parking 18€ la noche,aunque por lo menos tiene.",España,"8,0",En familia,Habitación Familiar,22/01/2022
454,Sara,Genial.,"Habitaciones super grandes.
Agua y zumos de bienvenida gratis.
Cerca de la calle comercial (1minuto andando)",,España,10,En pareja,Habitación Doble - 1 o 2 camas,22/01/2022
455,Eduardo,Buena,la ubicación,nada,España,"9,0",En pareja,Habitación Doble - 1 o 2 camas,22/01/2022
456,Dapamago,Confort en el centro,"Nos sorprendió la cena que entraba con la media pensión. Constaba de un primero, segundo y postre todos muy bien elaborados. la bebida no estaba incluida. Del desayuno lo más flojo el café. La ubicación genial está al lado de la calle principal de Escaldes, ideal para ir andando a Caldea o a las tiendas.",La lentitud para poder utilizar en algunos momentos el ascensor (incluso el personal de la limpieza utiliza los mismos que los clientes cuando hay uno en especial con llave para el personal).,España,"8,0",En familia,Habitación Triple,20/01/2022
457,Marly,Excelente,Excelente,,Estados Unidos,10,En familia,Habitación Cuádruple Deluxe,19/01/2022
458,Genís,Muy bien,"La habitacion es muy grande, la ducha se veia nueva, y los trabajadores muy simpaticos.
El buffet desayuno parecia pequeño pero tiene de todo.","Por poner una pega, el agua de la ducha no sale con mucha fuerza",España,"9,0",En pareja,Habitación Doble Deluxe,17/01/2022
459,Sara,Muy bien,El tamaño de la habitación.  Que tenga dos baños. El desayuno muy bueno.,.,España,"8,0",En pareja,Habitación Doble - 1 o 2 camas,16/01/2022
460,Pavel,Excepcional,"Todo fenomenal, las habitaciones grandes, personal super amable y simpatico. Dispone de parking. Vovlería...",,España,10,En pareja,Habitación Doble - 1 o 2 camas,16/01/2022
461,Acacio,Fantástico,Todo. La habitación y el desayuno muy completo,,España,"9,0",En pareja,Habitación Doble - 1 o 2 camas,14/01/2022
462,Rosa,hotel bien situado en el centro y muy cómodo y limpio,"Ubicación excelente a 5m a pie de Caldea y las tiendas, las comidas muy bien. No hay problema para aparcar xq hay varios parquins muy cerca","El wifi, en la 5a planta, no funcionaba muy bien.",España,"9,0",En familia,Habitación Cuádruple Deluxe,12/01/2022
463,Alejandro,muy buena!,personal y localizacion,,España,"9,0",En pareja,Habitación Doble - 1 o 2 camas,11/01/2022
464,Sandra,Excepcional,Fantastico,,España,10,En pareja,Habitación Doble - 1 o 2 camas,9/01/2022
465,Josep,relax,su ubicación,falta de conectividad wiffi en las habitaciones,España,"8,0",En familia,Habitación Cuádruple Estándar,9/01/2022
466,David,Excepcional,"Todo perfecto, buena Ubicación, personal muy amable y habitaciónes muy buenas y comodas",,España,10,En grupo,Habitación Cuádruple Estándar,9/01/2022
467,Isabel,TOTALMENTE ACONSEJABLE,"Todo fué genial, en cuanto al desayuno hubo una época excelente, variedad, en todos los aspectos, en la actualidad se nota bastante una reducción importante.",,España,10,En pareja,Habitación Doble - 1 o 2 camas,7/01/2022
468,Carmen,Bien,Muy cómoda la habitación y perfecta ubicación,,España,"7,5",En familia,Habitación Cuádruple Estándar,4/01/2022
469,Aosta,muy buena estancia,habitaciones amplias. Posibilidad de cuádruple muy cómoda,parking insuficiente. tuvimos que buscar uno fuera del hotel y muy caro.,España,"8,0",En familia,Habitación Cuádruple Deluxe,4/01/2022
470,Mariano,Excepcional,"La ubicación, la habitación en general. Cómoda y amplia.",,España,10,En pareja,Habitación Doble - 1 o 2 camas,3/01/2022
471,Alma,Excepcional,"Todo!!
El personal muy atento y amable, dispuesto a hacer tu estancia más agradable. 
La habitación un 10....eramos 4 y estuvimos muy amplios. 
Las camas y las almohadas muy cómodas. 
El hotel está muy limpio y tiene muy buena ubicación. 
Sin duda...repetiremos",,España,10,En pareja,Habitación Cuádruple Estándar,3/01/2022
472,Antonia,Fantástico,"Ubicación,. La habitación era enorme y con dos baños.","La limpieza no era perfecta. No dejaban las camas hechas, sobre todo con las literas era muy incómodo",España,"9,0",En familia,Habitación Cuádruple Deluxe,2/01/2022
473,Monica,Muy bien,La ubicación,La luz que entra por las ventanas y el ruído,España,"8,0",En familia,Habitación Triple,31/12/2021
474,Jose,recomendable 100%,"ubicación estupenda, habitación súper amplia y cómoda y desayuno buenísimo. todo perfecto",,España,10,En familia,Habitación Familiar,31/12/2021
475,Rocio,muy bien ubicado,ubicación y la habitación muy amplia (cuádruple),"la habitación parece bastante antigua: muebles y suelo gastados…
que no reserven parking",España,"8,0",En familia,Habitación Cuádruple Estándar,31/12/2021
476,Cristina,Volveremos,La verdad que esta bastante bien el hotel en si pero tendrían que mejorar el mobiliario es bastante antiguo.En cuanto la cena felicidades al chef 👏estaba todo muy rico aunque el salmón un poco seco pero bienn..en cuanto me llegó el postre se me olvidó todo 🤩El limón pie es excelente tanto el arroz con calamares 🦑 🔝 .Las gambas marinadas 🎯riquísimas..un acierto total las mezclas de sabores era genial.El desayuno ha estado bien aunque para un hotel de 4* creo que podría mejor un poco . El personal de la recepción súper amable y los camareros del restaurante también…,,España,"8,0",En familia,Habitación Cuádruple Estándar,30/12/2021
477,Alves,Excepcional,"Somos una familia de tres y hay dos baños en la habitación, excelente",,España,10,En grupo,Habitación Triple,29/12/2021
478,Estefania,muy bueno calidad precio,instalaciones ubicación,,España,"9,0",En grupo,Habitación Cuádruple Estándar,29/12/2021
479,Isni,Muy bien,"Una de las chicas de recepción para estar cara al publico, un poco desagradable,. Pedi cama extragrande y no fue lo que nos encotramos. Lo demas correcto y ubicación muy bien.",caracter chica recepción,"Abjasia, ​Georgia","8,0",En familia,Habitación Cuádruple Deluxe,29/12/2021
480,Marga,Perfecta,"La ubicación perfecta, cerca del centro pero no en medio. No desayunamos en el hotel. El aparcamiento es de pago.",,España,"9,0",En familia,Habitación Familiar,29/12/2021
481,Roger,Fantástico,La habitación,,España,"9,0",En familia,Habitación Cuádruple Estándar,29/12/2021
482,Maria,Excepcional,"Excelente ubicación, habitación súper amplia, el personal muy amable.",,España,10,En familia,Habitación Cuádruple Estándar,29/12/2021
483,Cristina,Muy bien,La habitación es muy amplia y tiene bastante armario. Tambien hay un pequeño recibidor el cual puedes cerrar la puerta y minimiza mucho si hay ruido exterior.,"Los muebles y las puertas están en mal estado.
Solo hay el espejo del baño y es pequeño",España,"8,0",En pareja,Habitación Doble - 1 o 2 camas,26/12/2021
484,Calomarde,Recomendable al 95%,"la habitación muy amplia , nos ha encantado",la wifi no llega bien a la habitación se cortaba por las noches,España,"9,0",En pareja,Habitación Doble - 1 o 2 camas,24/12/2021
485,Caarla16,Muy bien,"La ubicación es muy buena, al lado del centro.
La habitación muy grande y limpia.","El wifi no llegaba bien a las habitaciones
En el baño no habia escobillas
También se escuchaba bastante el ruido del exterior...",España,"8,0",En pareja,Habitación Doble Deluxe,21/12/2021
486,Mariano,Muy corta pero muy activa..,"La ubicación era muy buena, ya que esta a 30 metros de la calle central y no tiene perdida--El desayuno opcional y muy variado, de self service--los productos muy frecos y el personal muy agradable--","todo era perfecto--la estancia muy corta por el regreso al trabajo, pero aun así nos hubieramos quedado mas tiempo--ya que el personal es muy cualificado...y da gusto repetir en un lugar donde te reciben con los brazos abiertos...",España,10,En familia,Habitación Cuádruple Estándar,20/12/2021
487,Josep,Muy bien,El aparcamiento estaba lleno pero en recepción nos indicaron otras opciones cerca del hotel,"Tuvimos problemas con la calefacción por aire, hacía mucho calor",España,"8,0",En familia,Habitación Cuádruple Estándar,20/12/2021
488,Hanae,la habitación es perfecta,la habitación súper grande y muy limpia,,España,10,En familia,Habitación Cuádruple Estándar,20/12/2021
489,Eduardo,Satisfactoria de acuerdo con mis expectativas.,"La ubicación muy céntrica, y la calidad - precio del restaurante.","El precio del parking por día, me costo un 35% del importe de la reserva.",España,"9,0",En pareja,Habitación Doble - 1 o 2 camas,20/12/2021
490,Jose,Excepcional,"ubicación perfecta , parking en frente muy barato más que el del hotel y la comida muy buena",,España,10,En pareja,Habitación Doble - 1 o 2 camas,20/12/2021
491,Antonio,"Muy bien hotel, con muy buena habitación","La amplitud de la habitación y la claridad de esta, gracias a su gran ventana",Las camas no eran muy cómodas. Al menos en la que yo dormí,España,"8,0",En familia,Habitación Triple,19/12/2021
492,Aleix,"Excelente, ningún aspecto a mejorar",Me pareció perfecto en todos los aspectos. Habitación recién reformada. Muy espaciosa,No hay nada que no me haya gustado,España,10,En grupo,Habitación Cuádruple Deluxe,19/12/2021
493,Cristina,EXCELENTE UBICACIÓN y RESTAURANTE,La amplitud de las habitaciones y la comida,La falta de plazas de parking y que no se pueda reservarlas.,España,10,En grupo,Habitación Cuádruple Estándar,19/12/2021
494,Yaiza,Recomendable 100%,"La verdad que nos gustó todo, es la tercera vez que estamos en este hotel y super bien, el personal fantastico, las habitaciones geniales y la comida delux",Si tengo que poner una pega es que el wifi no llegaba bien a la habitación,España,"9,0",En pareja,Habitación Doble - 1 o 2 camas,18/12/2021
495,Mireia,Hotel espectacular.,"Nos encantó la habitación, muy amplia y limpia. Además de la comida del restaurante espectacular. Personal muy atento y amable y genial ubicación.",Nada. Todo genial,España,10,En pareja,Habitación Doble - 1 o 2 camas,14/12/2021
496,Sergio,Buen alojamiento para familias,"La situación es muy buena y la habitación familiar está muy bien, estando juntos los niños tiene su cuarto de baño aparte de la parte de la cama doble, una buena idea",,España,"8,0",En familia,Habitación Familiar,12/12/2021
497,Fouad,Fantástico,La ubicacion,,Marruecos,"9,0",En familia,Habitación Familiar Deluxe,12/12/2021
